utterance,persona_sentence,label
"sure ! but do not paint me with a cat , i hate cats .",i hate cats .,positive
"i do not have time to watch tv , i am an attorney so i work alot .",i work as an attorney .,positive
hi how are you ? i work in advertising for the last year .,i got a job working in advertising last year .,positive
i am a freshman in college .,i am in law school .,positive
"love seeing differences in the world , being law student limits my time though .",i am a student .,positive
i am in school studying oceanography .,i have got two more years in college .,positive
just got in from the karaoke bar . it was necessary to de stress .,my hobby is singing to my favorite songs for karaoke .,positive
i work as a teacher .,i teach children in elementary school .,positive
hello . i am a single woman who loves to shop for clothes .,i am single .,positive
"i ride my bike a lot , when i am not working .",i love to ride my bike .,positive
when are you planning to retired ? i try to retired in the next 5 years .,i am looking forward to retiring in five years .,positive
i am a musician and a guitar player what do you like ?,i like to play the guitar .,positive
i am experimenting with my style .,i enjoy being creative .,positive
i study law .,i am a student .,positive
i listen to country too i grew up listening to it on the farm .,i grew up on a large farm .,positive
i actually help out at my animal shelter today so that is a bonus .,i currently work in an animal shelter as a kennel cleaner .,positive
i like to build model spaceships .,i like putting together tiny autos .,positive
i love country too but a huge fan of classical too . i love bach .,"i listen to classical music , it is my favorite .",positive
i watch just for fun and love to snack on cheese pizza when watching .,my favorite food is cheese pizza .,positive
good luck ! i have seen many success stories in my work as a doctor .,i am a doctor .,positive
"not really , i am studying at the university up state learning biology .",i am in school studying oceanography .,positive
"nothing it just sounds good , my fears of snakes and spiders .",i am afraid of spiders and snakes .,positive
"i hate the ocean , swimming or anything with water .",i am afraid of water .,positive
i m actually late morning and i parents are teachers and firefighters .,my parents were a firefighter and a teacher .,positive
do not be afraid . polar bears is good for eating .,i like to hunt for polar bears for food .,positive
"no cooking i live with my little sister , also i do not sing but love tim mcgraw .",my favorite singer is tim mcgraw .,positive
i live in a small town in ohio .,i live in a very small town .,positive
"how are you tonight , i just got back from hiking .",i like to go hiking in my spare time .,positive
"way to go ! as i work as a writer , my days are quiet .",i am a writer .,positive
"we cant drink alcohol while playing , though . i quit 5 years back .",i do not like drinking alcohol anymore .,positive
"he is a country star , ice tea and chilling on the porch .",i listen to country music .,positive
"did you come from a big family ? it is just me , parents and a sibling .",my family has four people in it .,positive
"i have two part time jobs , so no time for dogs .",i have two part time jobs .,positive
my work out is walking it is very good for the body . that is nice .,my hobby is walking .,positive
because there is meatless sushi duh .,my favourite food is sushi .,positive
"i think he is great , but most of the other teachers where i work disagree .",i work as a teacher .,positive
"are you married , i want kids but its just not the time .",i want children badly but not right time in my life .,positive
in a word . good for the army . not so good for family . dad was the same .,i am in the army .,positive
oh . i am a managerial consultant in wisconsin .,i work as a managerial consultant .,positive
excellent ! i like ultimate frisbee . you will miss surfing in california when you move .,my favorite sport is ultimate frisbee .,positive
i am so short . i wish i had leg extensions . just joking !,i am five feet tall .,positive
i love to watch tv and movies .,i love watching movies and tv .,positive
i am at my farm and u .,i grew up on a large farm .,positive
i like where i live my people live down the street i love it .,my family lives down the street from me .,positive
i am actually looking forward to retirement soon . only five years to go !,i am looking forward to retiring in five years .,positive
i dig that . i am always playing a game when i work at pet smart .,i work at pet smart .,positive
cats are cool . i have two dogs . pretty big ones as well .,i really enjoy throwing round discs to my dogs .,positive
that is cool . i a short one so they make fun of me at times .,i am five feet tall .,positive
hah i know this is messed up but fish are yummy . i eat sardines every day .,i eat sardines for breakfast daily .,positive
i took in a stray cat . i fed him once and he never left .,i took in a lonely kitten that was outside by the dumpster .,positive
"that is an important job . my job is a kindergarten teacher , so i can relate .",i work as a kindergarten teacher .,positive
"i went to college in san diego , but moved out here 2 years ago after i graduated .",i just graduated from college two years ago .,positive
"i attended a friends wedding last week , and its had me thinking about life .",last weeks i was at a friends wedding .,positive
i do not blame you . i work as a registered nurse .,i am a nurse .,positive
do you have pets ? i have 2 dogs and a few cats .,i own a lot of pets .,positive
when i am not in the doctors office i play jazz .,i am a child doctor .,positive
haha . wanna be a police officer some day like my dad .,my father was a police officer .,positive
"whenever you come here , i can teach you to catch fish thru the ice .",i used to be a geology teacher but got more interested in ice .,positive
i am currently attending school .,i go to school .,positive
i live with my husband and kids . what do you do for fun ?,i am married with a kids .,positive
"lord of the rings , have you seen it ?",i like to binge watch the lord of the rings .,positive
i am reading some books about the hillary clinton since i vote democrat .,i am a democrat .,positive
just like a dance . you have to watch yourself and watch the others .,i love to dance .,positive
i mainly enjoy shopping . reading is too slow for me .,going to the mall to find new outfits is my thing .,positive
"i like to ice skate , roller skate and surf .",i love to surf and skate .,positive
surely is . but i am doing some meaningful things to find long lost explorers .,i am an arctic explorer .,positive
"nice , do you go alone or with siblings ? i go with my brother fishing .",i have one brother .,positive
that must be fun . i am a science fiction writer .,i am a science fiction author .,positive
cool . i am just a girl . i am 12 years old .,i am an 12 year old girl .,positive
"hello , i am an accountant from ohio . i have two boys and i am single .",i work as an accountant .,positive
"titanic is my favorite movie of all time , have seen it over 10 times .",i have seen the movie titanic ten times .,positive
i do not know what to do after high school .,i go to school .,positive
the army suits me well . i can be a violent person if i have to be .,i am in the army .,positive
i need to think of a name for my turtles girlfriend .,i have a turtle named timothy .,positive
for the typo but i said be law student .,i go to school .,positive
really ? john denver is more my style as a musician .,my favorite musician is john denver .,positive
great that is a cool hobby i love caring for old and young people .,i love caring for people .,positive
my job is to save peoples lives .,i am a doctor .,positive
i usually go reading good books .,when i have some spare time i read .,positive
you to a model is a great job i like to take care of folks .,i enjoy taking care of others .,positive
"whoa big money , i have been at the same job for years .",i have been at the same job for a years .,positive
i bet . kicking back and watching horror movies now . haha .,i like watching horror movies .,positive
"sounds interesting , ha ! i come from wisconsin , lots of snow and cold for me ! i love it .",i am originally from the state that is famous for cheese .,positive
do you ever play card games ?,poker is my favorite card game .,positive
i love taylor swift she has to be my favorite singer of all time .,my favorite singer is taylor swift .,positive
i am good . just reading some of my fantasy books .,i am a huge fantasy fan .,positive
wow ! i am a writer who was homeschooled . my book release is december .,i am homeschooled .,positive
i have been working at the same gig what seems like forever .,i work days and my husband works nights .,positive
"not currently . i am currently in south korea , in the army .",i am in the army .,positive
i agree . dogs are awesome and very entertaining at times .,my sis and my pup ralphie stay with me .,positive
i grew up listening to eighties rock with my dad and that started my obsession .,i love listening to heavy metal bands .,positive
cool my good friend took my boyfriend way from me back in high school .,my best friend took my boyfriend in high school .,positive
i am a student .,i am 17 years old and a senior in high school .,positive
"that is why i have a beard . strange on a woman , i know .",my beard is my best attribute .,positive
no so scary ! i would rather be gardening .,i love to garden .,positive
i have one boy and one girl then my husband do his own business running it .,my husband runs his own business .,positive
i love the city but i am scared of the water .,i am hydrophobic .,positive
"a real man , just like the ones i read and watch in my romance books and movies .",i love romance books and movies .,positive
"how sweet , mine listen to country music with me .",i like to listen to country music .,positive
"thank you , but my true passion is surfing and skating .",i love to surf and skate .,positive
really ? what is your fav animal ? mine are horses .,horses are my favorite animal .,positive
"civil , mainly for the people of my tribe in oklahoma , .",i am native american and live in oklahoma .,positive
yeah . it is hard to forget him even though we are divorced .,i am no longer married .,positive
"well , singing i can do , if you include bad karaoke .",i like to sing karok .,positive
i m with my cats and dogs two cats .,i have two cats and a dog .,positive
"i find myself running to band practice , and running around work all the time .",i like running .,positive
i collect new york tourist junk .,i do not drive because i live in new york .,positive
that is great . i am unable to work due to my disability .,i am unable to work at a job because of a disability .,positive
all 5 of my older sisters and my younger brother work there . its a family thing .,i am the youngest of the seven girls but am not the youngest in my family .,positive
any singing is good can be good if you enjoy it .,i also like to sing .,positive
i help deliver babies for my job .,i have a job with a good pay .,positive
hey i am jordan and i am a veterinarian . how are you doing today ?,hey there my name is jordan and i am a veterinarian .,positive
lol . very well . same with all of the love spells .,i do not like animals .,positive
just frisbee . when i can i travel to bora bora . that is where they moved .,my parents are living in bora bora .,positive
"i like playing frisbee , especially with them .",i love playing frisbee .,positive
i grew up with horses on a farm and love them . like animals ?,i love to work with horses .,positive
yes ! my mom was an army nurse so i read a lot of military history .,my mother was an army nurse .,positive
i enjoy not being involved with someone and being by myself .,i am not dating anyone .,positive
it can be fun . just not when my sweet tooth kicks in lol .,i have a big sweet tooth .,positive
i love italian food .,i like to eat italian cuisine .,positive
i cannot wait to be done working for good .,i do not like where i work .,positive
i spend my free time reading plays .,when i have some spare time i read .,positive
"that sounds tricky , but i could fly to some rap concerts !",i love rap music .,positive
"i really like onions , but not sure about sports ! haha .",i love onions .,positive
i had to exit the army because i am now colorblind .,i am colorblind .,positive
"oh i see . i am a single female , 32 , i do the same job .",i have not dated in a long time .,positive
yeah it is a great way to meet new people too .,i love to meet new people .,positive
i just graduated and am trying to get a job as personal trainer !,i am a college graduate .,positive
"my cat needs a luxury party limo , he s famous .",i am a kitty owner .,positive
wow . i have a dog as well because i love hunting .,"i have a 3006 , a winchester long and a shot gun i chase deer whenever i can .",positive
i live with my sister and my dog ralph .,i have a dog named max .,positive
its going alright tonight . i am not big on candy but love ice cream and sardines .,i eat sardines for breakfast daily .,positive
cannot blame you there . i know the feeling every time i take a camping trip .,i like to go hiking and camping .,positive
i love my job as a kindergarten teacher . what do you do ?,i work as a kindergarten teacher .,positive
well . . . i guess you will not be having any pizza .,my favorite food is cheese pizza .,positive
"oh , that sounds horrible . i work part time at my moms pizza restaurant .",my favorite food is pizza .,positive
i cant i work . i am a managerial consultant .,i work as a managerial consultant .,positive
that is great . you should write one about my favorite band rush .,i love the band rush .,positive
i am in the army . what years did you serve ?,i am in the army .,positive
great ! agent orange put me in a wheelchair .,i have a wheelchair that is modded to go very fast over many terrains .,positive
i enjoy new places .,i love traveling to where it is very cold .,positive
no . i have an obedience school . haha . got to pay fr the new house .,i have purchased a home .,positive
i get sick on seafood .,i do not eat seafood .,positive
my weekend was fine . i just stayed home and rocked on to pink floyd .,i enjoy listening to the dark side of the moon album .,positive
are their toes webbed like mine are ?,i have webbed toes .,positive
he owns a business . i have always wanted a huge family and i got one !,i have always wanted a big family .,positive
no dolphins are smarter then horses but some horses are smarter then most humans .,i was raised on a large horse ranch .,positive
that can be hard to find up in new york . things are fast and tight here .,i do not drive because i live in new york .,positive
oh wow that is amazing . i cannot wait to get a full time nursing job !,i have my certification for nursing .,positive
yes i live alone because i do not want pets . i do not care for animals .,i do not like animals .,positive
"i am vegan , and i love to bake cakes .",i am a vegan .,positive
"wow , if you ever get injured , just contact me . my mom is a certifies medical doctor .",the woman who gave birth to me is a physician .,positive
i am employed as an engineer .,i am an engineer .,positive
yes . two dogs and a cat . they are my babies .,i have two dogs and one cat .,positive
i am jewish but i am not religious all that much .,i am of the jewish faith .,positive
i brush daily .,i have been at the same job for a years .,positive
the one at the hospital ? i am a nurse at a pediatric one .,i work as a registered nurse at a pediatric hospital .,positive
i tend to be violent person with large crowds .,i am a violent person .,positive
no siblings i wish i had a brother or sister .,i have no siblings .,positive
i am hopefully about to get my first full time job as a nurse .,i cannot wait to get my first full time job as a nurse .,positive
i just have one sister . my dad was a police officer but he retired from an injury .,my father was a police officer .,positive
lets get a my family against your family softball game going .,i enjoy playing softball .,positive
i work days and my husband works nights .,my job involves animals .,positive
"lol , i have a couple cats and a pup myself , but i meant diet .",i have two cats and a dog .,positive
my sis and my pup ralphie stay with me .,i have a dog named max .,positive
"great , by the way i am not good at this whole conversation thing , i am quite shy .",i am very shy .,positive
"oh , i have 2 large dogs , do you have dogs .",i have two large dogs .,positive
i am able to live in the usa while my parents stay in australia so yes !,my family lives in the land down under .,positive
"frozen water . i love exploring the arctic , ice as far as you can see .",i used to be a geology teacher but got more interested in ice .,positive
oh nice . my father did the same . retired and stopped drinking for 3 years now .,my dad does not have to work anymore .,positive
"that sounds awesome , i am too short to be one at five foot .",i am five feet tall .,positive
"i do not cook much but i do love to eat , especially italian food .",my favorite type of food is italian .,positive
"hello , i am a lawyer and have a couple of dogs .",i have defended many people .,positive
i prefer walking myself . i walk my big dog daily .,i have a german shepherd .,positive
"cool , love riding my bike .",i love to ride my bike .,positive
me too ! although my left leg hurts every day because of all the activities i do .,my left leg hurts me daily .,positive
do you ever think about the environment ?,i am worried about the environment .,positive
it is great . we do everything together . shopping with her is the best !,going to the mall to find new outfits is my thing .,positive
"today i am painting a self portrait , since my career is an artist .",i am an artist .,positive
cute ! i am going to be a registered nurse . i just finished my schooling .,i have just completed my education as registered nurse .,positive
not sure i for get i went the university of mississippi .,i went to college at university of mississippi .,positive
"yes i am a teacher , i just started 2 years ago after finishing college .",i just graduated from college two years ago .,positive
i have a soft spot for my boss niece .,i hope to retire someday soon .,positive
my daughter lives with her boyfriend . i have animals a dog and cat .,i own several companion animals .,positive
i am an animal lover with strong preference for canines over felines .,i love dogs but hate cats .,positive
i was discharged from the army for being colorblind . i need a car too .,i am colorblind .,positive
i love swimming almost as much as dancing .,i enjoy tango and salsa i do it every chance i get .,positive
i am a shy person .,i am very shy .,positive
i am disabled but try to stay busy i am afraid of dogs though .,i am scared of dogs .,positive
i am single as well with no children . i like to travel .,i am unmarried and do not have any children .,positive
that is cool i stay in florida but from cali .,i am originally from california but i live in florida .,positive
not running is what makes me cry like a baby .,i am an avid runner .,positive
no i do not but my best friend he is a robot .,my best friend is a robot .,positive
i am also i have a big family 6 sisters and one brother .,i have six older sisters and one younger brother .,positive
i am always tired but i am a old man .,i am an old man .,positive
i take jujitsu classes for fitness .,i am learning jujitsu but am still new to it .,positive
if you want to wait 12 years . . . look me up then . i just turned 12 .,i am an 12 year old girl .,positive
i work in real estate . i have been there for awhile .,i have been working as a real estate agent for the past 12 years .,positive
"my parents did not want to keep me , after all .",i do not know my parents .,positive
i was a military man . stationed there 2 years .,i used to be in the military .,positive
yes i have a hunting dog .,i like to go hunting .,positive
did you have loving parents as a child ?,i do not know my parents .,positive
"nice , my profession is a doctor , i enjoy it apart from body building .",my job is to save peoples lives .,positive
i like the ocean . i like camping and hiking better .,i like to go hiking and camping .,positive
good afternoon . sitting here listening to john denver . i adore him .,my favorite musician is john denver .,positive
i am studying to be a chef . my romance novel is about two cooks !,i love romance books and movies .,positive
and i love hiking in the mountains too where i write and read poetry .,i read a lot of poetry .,positive
how cool you make sculptures . i love bacon and tried to make a sculpture with some .,i like to eat bacon .,positive
"doing very well , thank you . you male or female . i am a guy .",i am a guy .,positive
"fine , me and my sister just got back from shopping .",going to the mall to find new outfits is my thing .,positive
i live in new york and work as a model .,i do not drive because i live in new york .,positive
oh yeah ? it is cold there . i love the cold . christmas is my favorite holiday .,i love everything about winter especially the holidays !,positive
that is cool . i am a student attending auburn university .,i am going to auburn university next year as a freshman .,positive
i am very short nearly five feet .,i am shorter than most .,positive
yes but it was not much . i was only in high school .,my best friend took my boyfriend in high school .,positive
"i wish i could cook ! instead of eggs and bacon , i eat granola every day .",i eat granola for breakfast every day .,positive
yes a church in a america i love it .,i go to church every sunday .,positive
i have a pet turtle that i love ! his name is timothy .,i have a turtle named timothy .,positive
i have always wanted my family to be big . i am a mother of several kids .,i am a married mother of a kids .,positive
sounds interesting . i hope to follow in my moms footsteps and be a nurse one day .,my mom is a nurse .,positive
i should have a dog being a single girl of 32 . but i am scared .,i am scared of dogs .,positive
"yes , but if i am not teaching i am traveling different ecosystems .","i have gone to europe , france , and greece .",positive
do you play second life ? i am online a lot of my time .,i spend a lot of time online .,positive
i am from puerto rico originally .,i was born in puerto rico .,positive
probably just going to drive around in my new ford pickup truck .,i drive a ford pickup truck .,positive
i love puppies the only thing i have is a volkswagen beetle .,i drive a volkswagen beetle .,positive
"that sounds fun ! i got a new book about europe , i would love to travel there .",i want to travel to europe .,positive
interesting . can you listen to music at work ? like country ?,i listen to country music .,positive
i teach 5 year olds .,my job is to give lessons to five year olds .,positive
"hi , its good you are part of your kids lives i did not know my mother .",my mother was not part of my life .,positive
"yeah , i am homeschooled so i made my own friend . his name is sparky .",i am homeschooled .,positive
i am a male .,i was born a female but identify as male .,positive
"i have 3 children , and 2 kitties , that think they are my children as well !",i have three children .,positive
really ? my parents died 2 years ago .,my parents passed away two years ago .,positive
you be smart . i would like to do something different but i team leader now .,my parents did not want me .,positive
i will stick to walking long distances . i need to since i love italian food !,i like to walk long distances .,positive
one of my favorite passions is food ! if it looks good i will try it at least once .,i will try any kind of food once .,positive
i also like to sing .,i like to sing in choir .,positive
what kind of car do you have .,i own a small car .,positive
"i am an engineer , boring stuff .",i am employed as an engineer .,positive
that is sweet . my band is popular . i am the lead singer in it .,i am the lead singer in a popular band .,positive
"bora bora , so beautiful and full of new people to meet . how about yours ?",i love to meet new people .,positive
army . he is from scotland and serving in the army meant a lot to him .,my dad was in the army during wwii .,positive
i have one cat .,i adopted a stray cat recently .,positive
i have kids too ! we go swimming together every day .,i live beside the sea and go swimming every day .,positive
"well whatever keeps your mind active , i was a geology teacher and it was boring .",i used to be a geology teacher but got more interested in ice .,positive
"up too early , but that is the best time for surfing .",i love to surf and skate .,positive
i have never been . it is so far from oklahoma .,i am native american and live in oklahoma .,positive
i was born and raised in south carolina but hope to get away soon .,i was born in south carolina .,positive
for my age 40 it is nice to be able to enjoy the outdoors .,i am 40 years old .,positive
pretty good . i took my cat to the vet .,i have a siamese cat .,positive
"ah , well single is my status . i do not want to have any kids .",i have never been married .,positive
i hope to retire someday soon .,i have a soft spot for my boss niece .,positive
i have short hair but i may grow it out for my fave holiday christmas .,my favorite holiday is christmas .,positive
a writer ? me too ! but i got a job in advertising last year .,i got a job working in advertising last year .,positive
that is all they played last week at my friends wedding .,visited some pals recently when they got hitched .,positive
i play ultimate frisbee keeps me going .,my favorite sport is ultimate frisbee .,positive
happy monday . we went to church yesterday .,i go to church every sunday .,positive
i live out here in california .,i currently stay in ca .,positive
i attend university and study biology .,i have got two more years in college .,positive
"no siblings , my mother was not in my life . what do you like to do ?",my mother was not part of my life .,positive
i work in it .,"my job is similar to a lunch counter ,",positive
haha what kind of music do you enjoy ? i like country !,i like to listen to country music .,positive
"is anything very tall , i am pretty short .",i am five feet tall .,positive
cool . maybe i will go to college there . homeschooling right now .,i am homeschooled .,positive
i am a senior being 22 i am almost done !,"on my last birthday , i turned twenty two .",positive
too bad you did not train that dog !,i am afraid of dogs .,positive
i live in ohio but i have never been out of state .,i have never been away from the state i live in .,positive
"my favorite is listening to love songs and jazz , yes like movies .",my favorite music is jazz .,positive
i just got back from a bike ride with my grandchildren .,i love to ride my bike .,positive
"i am a law student , i know nothing about gardens . got 2 more years left .",i am almost finished with my schooling .,positive
yeah my friend had that removed at his wedding last week when i attended .,last weeks i was at a friends wedding .,positive
my feline has the name of a desert state .,i have a siamese cat .,positive
do you stay on a diet .,i am on a diet now .,positive
i try to calm myself by reading romance novels mostly about the paranormal .,i like reading paranormal romances .,positive
my dad liked to travel so it has become my passion .,i can not wait to visit a foreign country .,positive
i am wonderful thank you . i am listening to classical music .,"i listen to classical music , it is my favorite .",positive
good sore from lifting weights on sunday . but i will be good by next weekend .,i lift weights every weekend .,positive
"my parents are army , and were never home , how long have you been there ?",my parents were always gone when i was growing up .,positive
i just finished cooking i cook everyday .,i prefer preparing food at home .,positive
"emily , age 27 , one dog , 2 cats , favorite is light purple .",my favorite color is purple .,positive
"it is 2 years . i love to eat granola for breakfast , every day .",i eat granola for breakfast every day .,positive
"i lived there too in high school , i worked at hollister in the mall .",i worked at hollister in high school .,positive
not really its on and i am bored .,i really enjoy animals .,positive
i do not like where i work .,i brush daily .,positive
i like to exercise to stay healthy .,i am a fitness fanatic although i am rather large .,positive
sorry to hear that . i used to drink a lot . that was a lonely time for me .,i used to drink but i stopped five years ago .,positive
do you like to exercise .,i enjoy exercising for long hours .,positive
the sea is my home . the aquatic creatures are my friends .,i have dinner with my family and then go out play with friends .,positive
yes . a bit of trivia about me . for breakfast i eat granola almost everyday .,i eat granola for breakfast every day .,positive
i spend all of my free time watching movies .,i love film .,positive
i would love some ! but make it two . . . for each boy !,i am a single mom of two boys .,positive
i am just getting to it an i just got my nails finished .,i just got my nails done .,positive
"i graduated recently . from usc . my parents pushed me into it , wanted better .",l graduated from usc .,positive
now they run the farm while i am out on the road driving and reading .,i grew up on a large farm .,positive
i do not have much time . am in law school now .,i am in law school .,positive
what a neat hobby ! i spend my time playing ultimate frisbee .,my favorite sport is ultimate frisbee .,positive
that sounds very expensive . i am a healthcare adviser .,i work in the healthcare industry .,positive
"good , just got home from the grocery store where i work .",i work in a grocery store .,positive
i am the assistant manager at my mothers restaurant .,my mother runs her own restaurant where i work part time .,positive
sports are my thing .,i love playing sports and being active .,positive
traveling is something i love to do in the summer time on my down time .,"i have gone to europe , france , and greece .",positive
i work at mcdonalds unfortunately .,i serve happy meals .,positive
beautiful . my name is jordan and i am enjoying the florida sunshine .,i am originally from california but i live in florida .,positive
great ! i am a married man with 3 children . how about you ?,i am married with children .,positive
"i am in texas , the weather is no joke here .",i live in texas .,positive
"i am more into books , movies and cooking . i would love to be a chef .",i want to be a chef .,positive
"my dad wants me to be a police officer like him , but i like pet smart .",i work at pet smart .,positive
that is cute ! i have a lap dog as well . she does not walk much .,i have a german shepherd .,positive
i went to school for a computer science degree . i delve into my work by myself .,i have a computer science degree .,positive
sounds fun . i just finished my favorite show one tree hill .,i love to watch one tree hill .,positive
hello ! i love ice cream and movies ! ! ! !,"if i could only eat one thing , it would be ben and jerrys .",positive
i reside on an island far away and it has made me an introvert .,i am an introvert .,positive
i go to school .,i am a student .,positive
i am in law school .,i am 17 years old and a senior in high school .,positive
what is your dream job ? mine is becoming an actress .,my dream is to become an actress .,positive
"that job must be depressing , luckily i still have my sister and my dog , ralph .",i live with my sister and my dog ralph .,positive
i enjoy fishing with my sister and playing with her dog .,my sis and my pup ralphie stay with me .,positive
i have traveled to six countries .,i love to travel .,positive
"great pet name . i do not have any pets unless you count my car , sally .",i own a small car .,positive
i do love cooking for my kids tho .,trying new recipes makes me happy .,positive
"right now i am just working as a secretary , but i hope to move up .",i work in an office as a secretary .,positive
"hello , have you had dinner yet ?",i have dinner with my family and then go out play with friends .,positive
just got off work mcdonalds is not cutting it i might go back to school .,i do not know what to do after high school .,positive
i have a husband who i love very much .,i am married with a kids .,positive
wisconsin born and raised . macedonia seems exotic .,i grew up in wisconsin .,positive
i am scared of dogs .,i am afraid of dogs .,positive
i am joe and a pro skater .,i am a professional skater .,positive
my six older sisters love to watch horror and eat a pizza .,my favorite food is pizza .,positive
"i am very young , but hope to be a professional dancer someday .",i love to dance .,positive
i eat meat .,i like to eat a lot of meat .,positive
i really enjoy throwing round discs to my dogs .,i have a german shepherd .,positive
i love pizza and ice cream .,"if i could only eat one thing , it would be ben and jerrys .",positive
just done with band practice . i am the lead singer !,i am the lead singer in a popular band .,positive
i am a kindergarten teacher .,i teach children in elementary school .,positive
"dogs are the greatest , mine beg me for the sardines i eat every morning for breakfast .",i really enjoy throwing round discs to my dogs .,positive
i have 2 cats so same .,i am a kitty lover .,positive
i love to play ultimate frisbee .,my favorite sport is ultimate frisbee .,positive
i like all kinds especially as a secretary .,i work in an office as a secretary .,positive
he gave me a job at mcdonalds . i was considering college but i am good now .,i am considering going to college .,positive
"hello , well , and you ? i love dogs ! cats i am allergic to .",i am allergic to cats .,positive
"oh , sore . i had surgery last week . i have 2 dogs that are big wanting attention .",i really enjoy throwing round discs to my dogs .,positive
marriage can be a great thing . i enjoy being a stylist for dogs .,i have a lot of experience with marriage .,positive
hey there . i am a student who needs money .,i am a student .,positive
i would be a fashion designer but i have a criminal record .,i was arrested for stealing .,positive
yeah . it is sad considering the relation to the earths overall temperature .,i really enjoy animals .,positive
"i like the band radiohead a lot , green is my favorite color .",my favorite color is green .,positive
o ok yes children is a big step a whole new lifestyle .,i love children a lot .,positive
"i only study ice and explore , but i wish i would have paid attention more .",i used to be a geology teacher but got more interested in ice .,positive
i went to college at the university of mississippi and live not far from there now .,i went to college at university of mississippi .,positive
i am doing good . just hanging out with my best friend . celebrating being friends since kindergarten .,i met my best friend in kindergarten .,positive
i have a job with a good pay .,i do not like where i work .,positive
i drive a forklift and i have to prop mine up as well .,i am a licensed hi lo driver .,positive
"horses scare me . i am also afraid of bees and the water , as in swimming .",i am hydrophobic .,positive
my father used to work on trucks after he left he military .,my father served in our military in the war .,positive
"hey ! 60 years old , currently an administrative assistant .",i am an administrative assistant .,positive
he will eat anything but we did not eat a lot of potatoes growing up in australia mate .,my parents live in australia .,positive
"i like them , but i only have a dog , because my sister is allergic to cats .",my sis and my pup ralphie stay with me .,positive
i am actually a student . i travel for fun .,i am a freshman in college .,positive
"yes , active . love sports and dancing to rap music .",i love playing sports and being active .,positive
"i prefer home workouts , but mostly just workin this pizza lol .",my favorite food is cheese pizza .,positive
yes i think of it as a mystery . because i do not know their mom .,i enjoy reading mysteries .,positive
i am a skateboarder for a living . i got into it while working at hollister .,i worked at hollister in high school .,positive
"that is awesome , i live in a big city so that is different .",i live in a large city .,positive
not really . i like listening to music more .,i am very into music .,positive
winter is my favorite season .,i love cold weather and snow .,positive
i am an actor and fashion model so i have to relocate for work .,i am a fashion model and actor .,positive
i wish i had more than one sibling .,my parents are together and i have a sibling .,positive
i am glad my mom is a medical doctor . i can just ask her what to do .,my mother is a medical doctor .,positive
oh cool what did you find out i know how to fish is being nice .,i used to be a geology teacher but got more interested in ice .,positive
my friend is a painter here in texas ! we met at a furry convention .,i love anything with fur .,positive
"well i certainly do , taylor swift is my favorite .",my favorite singer is taylor swift .,positive
its so much fun . i am single and alone so i use it to catch women .,i enjoy not being involved with someone and being by myself .,positive
"good ! i am in the army , stationed in south korea . it is a nice day here today .",i am in the army .,positive
i grew up with my aunt uncle here in new york .,i do not drive because i live in new york .,positive
"i love dogs . even though i love music , i really want to be a doctor or vet .",i want to be a doctor when i grow up .,positive
hey there how are you i seen a spider an cried i hate snakes too .,i am afraid of spiders and snakes .,positive
i love to play my guitar when i am not working as a batista .,i like to play the guitar .,positive
i like rock and heavy metal . metallica is my favorite band though .,my favorite band is metallica .,positive
my cat . she is a siamese .,i am a kitty owner .,positive
he makes me cry as bad as onions do . but i truly enjoy onions .,i love onions .,positive
i m not really into kids to that s why am still single .,i am single .,positive
i cannot wait until christmas . it is my favorite holiday .,my favorite holiday is christmas .,positive
i have traveled and studied abroad .,i love traveling to where it is very cold .,positive
wow that is cool i have blue hair i love my hair .,i am a blue haired teenager .,positive
"great , i am also a student for 2 more years .",i have got two more years in college .,positive
my relationship with my father is strained .,my father and mother both worked in fields that helped people .,positive
oh really ? what do you like to watch ? i mostly watch horror movies .,i like watching horror movies .,positive
me too . i am a full time student at bacon university .,i am a freshman in college .,positive
you do not know the half of it . i am also colorblind .,i am colorblind .,positive
"hi , i am a jew and in new york city , who are you and where you from ?",i do not drive because i live in new york .,positive
"i go to competitions , but never been out of state yet .",i have never been away from the state i live in .,positive
"yes ! i should , but i spend most of my time hanging out with friends .",i love to hang out with my friends .,positive
"oh my , and i thought my life was dramatic ! do you have a family ?",i want children badly but not right time in my life .,positive
i am a married mother of a kids .,i have a husband who i love very much .,positive
i devour dramatic lit .,love to read drama books .,positive
i read as much as i can .,i am a hopeless bookworm .,positive
i am an author . i write short stories .,i am a fiction author .,positive
i do not drive much . walking long distances is what i do .,i like to walk long distances .,positive
why ? are you broke ? i like having dinner at home every day !,i have dinner with my family and then go out play with friends .,positive
"i cook vegan stuff , so i fart a lot sadly .",i am a vegan .,positive
"i create fantasy video games , playing them gives me an outlet for my energy .",i play a lot of fantasy videogames .,positive
"i love walking , especially this time of year .",my hobby is walking .,positive
my dad farms and my mother a teacher .,my father owns a farm and my mother loves to teach .,positive
"i like fishing , and hunting for bears .",i can catch animals in cold water .,positive
"i do go to church , we go out for vegan sushi afterwards !",my favourite food is sushi .,positive
when i am running i feel so free from my problems .,i am an avid runner .,positive
i am done ! all i have to do is find a nursing job . i am so excited !,i have just completed my education as registered nurse .,positive
what music do you like my favorite is nirvana .,the best musical group i know was fronted by kurt cobain .,positive
i take a lot of walks .,i enjoy walking several miles .,positive
